query,2026-01-07,2026-01-08,2026-01-09,2026-01-10,2026-01-11,2026-01-12,2026-01-13,2026-01-14,2026-01-15,2026-01-16,2026-01-17,2026-01-18,2026-01-19,2026-01-20,2026-01-21,2026-01-22,2026-01-23,2026-01-24,2026-01-25,2026-01-26,2026-01-27,2026-01-28,2026-01-29
jtbc,190,200,200,200,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
lck,250,300,300,500,600,650,290,100,100,270,100,100,240,100,100,100,100,100,100,100,100,100,100
sbs연기대상,600,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
t1,100,100,100,100,100,100,100,100,100,100,100,100,200,100,100,100,100,100,100,100,100,100,100
t1hle,100,100,100,100,100,100,100,100,100,100,650,100,100,100,100,100,100,100,100,100,100,100,100
t1kt,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1150,1100,1150,1300,1200,1300
t1한화,100,100,100,100,100,100,100,100,100,100,1000,100,100,100,100,100,1300,100,100,100,100,100,100
ㄱㄱ,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,550,100,800,800,850,900,850,100
가요대제전,800,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
감스트,100,100,100,100,190,210,100,200,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
감스트기래민,100,100,100,100,100,100,850,100,500,100,100,100,100,100,100,100,100,100,100,100,100,100,100
강유미,550,600,450,350,180,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
골든,170,170,160,100,170,170,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
골든디스크,100,100,100,100,3000,4200,4550,5100,5100,5050,2900,100,100,100,100,100,100,100,100,100,100,100,100
골든디스크2026,100,100,100,100,2100,100,2750,100,2900,100,1750,100,100,100,100,100,100,100,100,100,100,100,100
골든디스크제니,100,100,100,100,100,100,100,100,5100,100,5000,100,100,100,100,100,100,100,100,100,100,100,100
구룡마을화재,100,100,100,100,100,100,100,100,100,700,100,100,100,100,100,100,100,100,100,100,100,100,100
그놈은드래곤,100,100,100,100,100,100,100,100,100,100,350,350,100,350,100,100,100,100,100,100,100,100,100
그라운드씨,100,100,100,170,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
기래민,100,100,220,100,550,700,800,850,500,100,100,100,100,100,100,100,100,100,100,100,100,100,100
김건희,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,350,500
김건희재판,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1350
김동현,100,100,100,100,100,100,100,100,100,100,100,100,100,350,400,100,400,100,100,100,100,100,100
김동현밈,100,100,100,100,100,100,100,100,100,100,100,1100,100,1650,1750,1750,1250,100,100,100,100,100,100
김동현운동많이된다,100,100,100,100,100,100,100,100,100,100,100,1400,1750,1800,1500,1300,850,100,100,100,100,100,100
김민재,100,100,100,100,100,100,100,100,300,350,350,400,100,400,350,100,100,100,100,100,100,100,100
김민지,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,750,750,700,650,100,100
김선호,100,100,100,100,100,100,100,100,100,100,100,290,100,500,550,550,600,400,100,100,100,100,100
김연경,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,350,100,350,400
김지영,100,350,100,100,100,100,550,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
