query,2026-01-09,2026-01-10,2026-01-11,2026-01-12,2026-01-13,2026-01-14,2026-01-15,2026-01-16,2026-01-17,2026-01-18,2026-01-19,2026-01-20,2026-01-21,2026-01-22,2026-01-23,2026-01-24,2026-01-25,2026-01-26,2026-01-27,2026-01-28,2026-01-29
24horasdedaytona,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1150,100,100,100,100
28deenerolambertoquinteroletra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1000
4x4,100,100,100,100,100,100,100,100,100,100,100,100,270,280,200,140,100,100,100,100,100
4x4tro,100,100,100,100,100,100,100,170,300,400,100,600,600,600,300,100,100,100,100,100,100
7-3,100,180,210,220,230,240,230,200,190,150,150,100,100,100,100,100,100,100,100,100,100
aaa,100,100,100,100,100,100,100,100,100,100,100,100,100,160,170,100,100,100,100,100,100
abrahaham,100,100,100,140,100,100,100,100,100,100,100,100,100,100,100,140,100,150,170,180,170
abraham,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,170,170,170,200,210,190
aczinovsmuelasdegallo,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2600
americavspachuca,100,100,100,100,100,100,100,100,100,100,100,5100,100,5100,100,100,1500,100,100,100,100
americavstijuana,100,100,100,100,100,5100,5100,5100,100,100,100,100,100,100,100,100,100,100,100,100,100
barcelonavsrealmadrid,100,100,100,1200,100,1750,100,1500,1450,1150,100,100,100,100,100,100,100,100,100,100,100
benficavsrealmadrid,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1600
betillo,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,140
bobicraft,100,150,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
brunomars,100,100,100,160,180,190,200,180,100,100,100,100,100,100,100,100,100,100,100,100,100
bts,100,100,100,100,100,100,140,140,150,150,170,180,160,100,100,100,100,100,100,100,100
