query,2026-01-09,2026-01-10,2026-01-11,2026-01-12,2026-01-13,2026-01-14,2026-01-15,2026-01-16,2026-01-17,2026-01-18,2026-01-19,2026-01-20,2026-01-21,2026-01-22,2026-01-23,2026-01-24,2026-01-25,2026-01-26,2026-01-27,2026-01-28,2026-01-29
49ers,100,100,100,100,100,100,100,100,100,400,100,100,100,100,100,100,100,100,100,100,100
49ersvseagles,100,100,100,1000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
57爆新聞,100,100,100,100,100,100,100,100,100,100,100,100,100,1000,1600,2050,2250,2400,2450,1000,100
6ix9ine,100,180,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
a$aprocky,100,100,100,270,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
alexhonnold,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,650,850,1050,1000,1050
alexpretti,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1000,2700,3850,4700,5100
apertureharrystyles,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1550,100,1600,1400
asaprocky,100,100,100,100,100,100,100,100,100,100,100,160,170,170,100,100,100,100,100,100,100
australianopen2026,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,400,100,100,100,100
barcelonavsrealmadrid,100,100,100,100,1100,100,1050,1050,950,800,100,100,100,100,100,100,100,100,100,100,100
bearsvspackers,100,100,850,2000,2300,2150,1900,1650,1450,100,100,100,100,100,100,100,100,100,100,100,100
bearsvsrams,100,100,100,100,100,100,100,100,100,100,1000,100,1000,900,100,100,100,100,100,100,100
billsvsbroncos,100,100,100,100,100,100,100,100,100,100,100,100,1700,1600,100,100,100,100,100,100,100
billsvsjaguars,100,100,100,750,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
blueface,100,100,100,100,100,100,100,100,100,100,100,220,230,210,180,100,100,100,100,100,100
bonix,100,100,100,100,100,100,100,100,100,850,100,100,100,100,100,100,100,100,100,100,100
brawadis,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,240,100,300
breakingpoints,100,180,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
broncosvsbills,100,100,100,100,100,100,100,100,100,1850,100,100,100,100,100,100,100,100,100,100,100
brookemonk,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,160,100,160
brunomars,100,100,220,240,260,280,300,270,100,100,100,100,100,100,100,100,100,100,100,100,100
buffalobills,100,100,100,100,100,100,100,100,100,230,100,100,100,100,100,100,100,100,100,100,100
candaceowens,100,100,140,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
cecemarvelrivals,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1400,100,100,100
ces2026,100,1300,100,1100,350,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
chicagobears,100,100,140,210,270,350,300,290,300,100,100,100,100,100,100,100,100,100,100,100,100
daredevilbornagainseason2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,450,100
darkoutlaw,100,100,100,100,100,100,100,100,100,100,100,100,100,1050,1350,1800,1900,2050,1100,100,100
deadpoolmarvelrivals,100,100,100,100,100,450,100,950,1050,1100,100,1000,100,100,100,100,100,100,100,100,100
denverbroncos,100,100,100,100,100,100,100,100,100,100,100,350,350,300,300,100,100,100,100,100,100
diamondgym,100,500,100,400,250,150,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
druski,100,100,100,100,100,100,190,250,270,300,300,350,220,100,100,100,100,100,100,100,100
druskichurch,100,100,100,100,100,100,100,100,100,3000,100,2850,600,180,100,100,100,100,100,100,100
elranchodedestino,100,1600,100,400,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
enhypen,100,100,100,100,100,100,100,100,100,100,100,200,220,200,100,100,100,100,100,100,100
euphoriaseason3trailer,100,100,100,100,100,100,1350,2050,2200,2500,2700,2700,1900,100,100,100,100,100,100,100,100
fable,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,550,550,650,100,750,750
fettywap,100,200,100,300,350,450,500,400,200,100,100,100,100,100,100,100,100,100,100,100,100
finesse2times,220,180,150,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
forzahorizon6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,400,100,100,100,100,100,100
foxnews,150,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
golden,100,100,100,100,160,170,190,100,200,100,100,100,100,100,100,100,100,100,100,100,100
goldenglobes,100,100,100,800,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
goldenglobes2026,100,100,100,1100,3050,3400,3600,3400,2700,2250,200,100,100,100,100,100,100,100,100,100,100
greenland,100,350,100,450,400,270,190,100,100,100,100,100,100,100,100,100,100,100,100,100,100
harrystyles,100,100,100,100,100,100,100,100,100,100,100,100,100,100,220,300,300,100,100,350,350
hytale,100,100,100,100,100,550,900,1050,1100,1050,1050,800,280,160,100,100,100,100,100,100,100
iceshooting,100,100,100,5100,5100,100,220,100,100,100,100,100,100,100,100,100,100,100,100,100,100
iceshootinginminneapolistoday,2300,2700,2950,3100,3200,3250,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
indianavsmiami,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1750,100,100,100,100
indianavsoregon,100,900,100,100,100,100,1000,900,100,100,100,100,100,100,100,100,100,100,100,100,100
internetgirlkatseye,230,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
invincibleseason4trailer,100,100,100,100,100,100,100,100,100,100,100,100,100,100,550,100,100,100,100,1100,950
iran,100,100,160,100,190,220,220,100,180,100,100,100,100,100,100,100,100,100,100,100,100
irannews,100,100,100,100,100,100,240,230,210,100,100,100,100,100,100,100,100,100,100,100,100
j.cole,100,100,100,100,100,100,100,240,300,300,100,350,400,100,100,100,100,100,100,100,100
jcole,100,100,100,100,100,100,100,210,100,260,100,270,300,100,100,100,100,100,100,100,100
jimmykimmel,100,190,100,230,200,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
kaicenat,100,100,100,100,100,100,220,280,290,350,400,400,190,100,100,100,100,100,100,100,100
kaicenatiquit,100,100,100,100,100,100,100,100,800,900,100,100,100,100,100,100,100,100,100,100,100
kaimind3,100,100,100,100,100,100,100,100,100,100,100,100,100,300,250,100,100,100,100,100,100
kaismind,100,100,100,100,100,100,1300,1650,2000,2200,100,2750,230,100,100,100,100,100,100,100,100
kingsman,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1800,1800,1600,100,300,100
kingsmanmarvelrivals,100,100,100,100,100,100,100,100,100,100,100,100,850,1700,2300,2650,2550,2050,900,100,100
lacasadelosfamososcolombia2026,100,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,100,100,100,100,100
lolpodcast,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,160
maduro,5100,5100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
madurovenezuela,100,1950,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
marvel,100,100,100,100,100,100,100,100,100,100,100,170,100,100,100,100,100,100,100,100,100
marvelrivals,100,100,100,100,100,160,100,210,230,280,250,280,100,160,100,100,100,100,100,100,100
mastersoftheuniverse,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1650,100,100,100,100,100,100
mastersoftheuniversetrailer,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1950,2600,2750,2900,3050,3100,600
maxvelocityweather,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,450,550,100,100,400,100
megynkelly,100,100,100,100,100,150,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
melaniemartinez,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,220
miamivsindiana,100,100,100,100,100,100,100,100,100,100,100,1250,1650,1600,1500,1700,100,1600,100,100,100
miamivsolemiss,1750,2000,100,1850,1800,1650,1350,100,100,100,100,100,100,100,100,100,100,100,100,100,100
minneapolisshooting,4450,5100,5100,5100,5100,5100,100,100,100,100,100,100,100,100,100,100,100,100,550,700,950
moistcritical,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,150,100,100
nbayoungboy,100,100,100,100,100,100,100,100,100,100,100,150,100,140,100,100,100,100,100,100,100
nicolasmaduro,100,1800,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
nikkiglasergoldenglobes,100,100,100,100,950,100,1250,1300,1300,1250,100,100,100,100,100,100,100,100,100,100,100
noticiastelemundodehoy,100,230,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
paddypimblettvsjustingaethje,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,700,1100,100,1100,1050
patriots,100,100,100,100,100,100,100,100,100,100,100,160,100,100,100,100,100,100,100,100,100
patriotsvsbroncos,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1050,100,100,100
penguinz0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,140,100,100
pinkponyclub,100,100,100,100,100,100,100,100,100,100,100,100,100,140,100,100,100,100,100,100,100
ramsvsseahawks,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1150,100
realmadrid,100,100,100,100,100,100,400,210,190,190,100,100,100,100,100,100,100,100,100,100,100
realmadridvsbarcelona,100,100,100,800,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
reneegood,100,100,100,100,2950,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ryanhall,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,900,1000,1000,950,550,280
ryanhally'all,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,950,1050,1050,900,500,290
saturdaynightlive,100,100,100,100,100,100,100,100,100,100,170,200,200,210,230,220,100,100,100,100,100
seahawks,100,100,100,100,100,100,100,100,100,100,100,100,100,100,400,100,100,100,140,100,100
seahawksvs49ers,100,100,100,100,100,100,100,100,100,290,100,800,850,750,700,260,100,100,100,100,100
seahawksvsrams,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1100,100,100,950
seattleseahawks,100,100,100,100,100,100,100,100,100,100,100,300,300,300,300,100,100,100,100,100,100
shinywr,100,100,100,550,1150,100,1700,1800,1900,1650,100,100,100,100,100,100,100,100,100,100,100
shotshow2026,100,100,100,100,100,100,100,100,100,100,100,100,500,100,850,800,850,800,100,100,100
snl,100,100,100,100,100,100,100,100,100,100,160,190,190,210,200,200,100,100,100,100,100
snlstrangerthings,100,100,100,100,100,100,100,100,100,100,100,100,100,850,850,850,100,100,100,100,100
southpark,100,100,100,100,180,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
steelers,100,290,100,280,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
steelersvsravens,100,1250,100,400,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
steelersvstexans,100,100,100,100,1000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
stephencolbert,100,100,100,210,200,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
telemundoenvivo,100,300,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
tomgrossi,100,100,100,100,200,100,100,100,200,100,100,100,100,100,100,100,100,100,100,100,100
tousitv,100,100,100,100,100,100,250,230,200,100,100,100,100,100,100,100,100,100,100,100,100
traxnyc,100,450,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
trump,230,240,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
tuckercarlson,150,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ufc,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,100,100,280,100,250
ufc324,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,700,850,100,700,600
untalfredo,100,900,700,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
venezuela,1350,1300,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
venezuelanewstoday,1050,1300,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
weather,100,100,100,100,100,100,100,100,100,100,100,100,100,200,250,400,450,100,450,350,240
winterstorm,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1400,1500,1700,100,900,450
yeisonjimenez,100,100,100,1300,1700,100,2800,3300,3850,400,100,100,100,100,100,100,100,100,100,100,100
yeisonjiménez,100,100,650,1200,1600,100,2300,2600,2950,270,100,100,100,100,100,100,100,100,100,100,100
youngboyneverbrokeagain,100,100,100,100,100,100,100,100,100,100,160,170,160,100,100,100,100,100,100,100,100
zachbryan,100,100,100,100,100,100,210,200,100,100,100,100,100,100,100,100,100,100,100,100,100
中天新聞,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1400,3650,4350,5100,5100,5100,5100
川普,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,950,900
年代向前看,100,100,100,100,100,100,100,350,1500,2250,2750,3600,4650,5100,1350,290,280,100,180,100,100
年代向錢看,100,100,100,100,100,100,100,100,100,100,100,100,700,1800,2600,3400,3850,4250,4150,600,100
张又侠,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1050,1200,100,100,100,100
民眾黨,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1150,100,1150,1150
陳破空,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1250,100,100,100
隊長,100,100,100,100,100,100,100,100,100,100,100,1300,2800,3550,4100,5050,5100,5100,400,100,100
韓國瑜,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1200,1150
黃國昌,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1100,2850,3500,4150,4300,4450,4500
